Node,Feature,Threshold,Value
208,3,-1.475123405456543,"[[11379.118599116802, 13.983267962932587, 5202.366756260395]]"
209,-2,-2.0,"[[4532.692007005215, 0.0, 981.827918946743]]"
210,1,18.30339241027832,"[[6846.4265921115875, 13.983267962932587, 4220.538837313652]]"
211,2,12.475807666778564,"[[3815.4646763801575, 13.983267962932587, 1224.6145341992378]]"
212,-2,-2.0,"[[2059.2096542716026, 0.0, 127.41247808933258]]"
213,-2,-2.0,"[[1756.2550221085548, 13.983267962932587, 1097.2020561099052]]"
214,0,17.5,"[[3030.96191573143, 0.0, 2995.924303114414]]"
215,-2,-2.0,"[[81.16160249710083, 0.0, 867.8400778770447]]"
216,-2,-2.0,"[[2949.800313234329, 0.0, 2128.0842252373695]]"
217,-2,-2.0,"[[5.9858187437057495, 0.0, 645.3213464021683]]"
218,4,-1.201145350933075,"[[866.0717175602913, 0.0, 3054.3760818243027]]"
219,-2,-2.0,"[[292.35203713178635, 0.0, 2584.1155972480774]]"
220,-2,-2.0,"[[573.719680428505, 0.0, 470.2604845762253]]"
221,3,-1.2129252552986145,"[[22251.949232816696, 0.4970751404762268, 2374.795289695263]]"
222,1,26.356220245361328,"[[16419.609844446182, 0.0, 581.7540647983551]]"
223,4,-1.77086341381073,"[[6373.9132878780365, 0.0, 557.0572973489761]]"
224,1,25.916643142700195,"[[1050.8611752986908, 0.0, 412.55582869052887]]"
225,-2,-2.0,"[[995.6348836421967, 0.0, 163.43851745128632]]"
226,-2,-2.0,"[[55.22629165649414, 0.0, 249.11731123924255]]"
227,-2,-2.0,"[[5323.052112579346, 0.0, 144.50146865844727]]"
228,-2,-2.0,"[[10045.696556568146, 0.0, 24.696767449378967]]"
229,1,27.9800968170166,"[[5832.339388370514, 0.4970751404762268, 1793.0412248969078]]"
230,1,24.503470420837402,"[[3390.652006983757, 0.4970751404762268, 1717.0332359671593]]"
231,-2,-2.0,"[[1736.3828461170197, 0.4970751404762268, 253.4130409359932]]"
232,0,23.5,"[[1654.2691608667374, 0.0, 1463.620195031166]]"
233,-2,-2.0,"[[66.09752655029297, 0.0, 624.2318651676178]]"
234,2,10.066173076629639,"[[1588.1716343164444, 0.0, 839.3883298635483]]"
235,-2,-2.0,"[[88.31882274150848, 0.0, 345.5709100961685]]"
236,-2,-2.0,"[[1499.852811574936, 0.0, 493.81741976737976]]"
237,-2,-2.0,"[[2441.687381386757, 0.0, 76.00798892974854]]"
238,0,23.5,"[[14853.695014357567, 63.79198431968689, 28643.89091640711]]"
239,2,19.90316867828369,"[[6003.006414175034, 63.79198431968689, 26808.209147512913]]"
240,3,-1.5433597564697266,"[[5428.976051926613, 7.325869560241699, 11065.644275069237]]"
241,0,19.5,"[[4599.093588590622, 0.0, 4529.488065242767]]"
242,1,7.859145641326904,"[[2500.163174390793, 0.0, 3988.963374376297]]"
243,-2,-2.0,"[[1855.056266784668, 0.0, 785.4900082349777]]"
244,4,-1.3266181945800781,"[[645.1069076061249, 0.0, 3203.4733661413193]]"
245,-2,-2.0,"[[89.88236880302429, 0.0, 2013.1691833734512]]"
246,3,-1.704606056213379,"[[555.2245388031006, 0.0, 1190.304182767868]]"
247,2,18.971904754638672,"[[542.7622497081757, 0.0, 557.7785604000092]]"
248,-2,-2.0,"[[419.35031151771545, 0.0, 16.049196481704712]]"
249,-2,-2.0,"[[123.4119381904602, 0.0, 541.7293639183044]]"
250,-2,-2.0,"[[12.462289094924927, 0.0, 632.5256223678589]]"
251,4,-1.3150333166122437,"[[2098.930414199829, 0.0, 540.5246908664703]]"
252,3,-1.6938186883926392,"[[555.0828235149384, 0.0, 529.0827996730804]]"
253,-2,-2.0,"[[503.8614203929901, 0.0, 155.10225212574005]]"
254,-2,-2.0,"[[51.22140312194824, 0.0, 373.9805475473404]]"
255,-2,-2.0,"[[1543.8475906848907, 0.0, 11.441891193389893]]"
256,1,2.2597579956054688,"[[829.8824633359909, 7.325869560241699, 6536.156209826469]]"
257,-2,-2.0,"[[411.32908153533936, 0.0, 432.051143348217]]"
258,-2,-2.0,"[[418.55338180065155, 7.325869560241699, 6104.105066478252]]"
259,1,5.247052431106567,"[[574.0303622484207, 56.46611475944519, 15742.564872443676]]"
260,3,-1.7053065299987793,"[[445.7990597486496, 0.0, 2826.758391737938]]"
261,-2,-2.0,"[[326.5452243089676, 0.0, 587.3689720630646]]"
262,-2,-2.0,"[[119.253835439682, 0.0, 2239.3894196748734]]"
263,-2,-2.0,"[[128.23130249977112, 56.46611475944519, 12915.806480705738]]"
264,3,-1.5471948981285095,"[[8850.688600182533, 0.0, 1835.6817688941956]]"
265,-2,-2.0,"[[6008.595519781113, 0.0, 136.77735209465027]]"
266,0,25.5,"[[2842.0930804014206, 0.0, 1698.9044167995453]]"
267,3,-1.294129729270935,"[[494.6072758436203, 0.0, 1272.6436021327972]]"
268,-2,-2.0,"[[465.9268865585327, 0.0, 439.5652720928192]]"
269,-2,-2.0,"[[28.680389285087585, 0.0, 833.078330039978]]"
270,2,20.918667793273926,"[[2347.4858045578003, 0.0, 426.26081466674805]]"
271,-2,-2.0,"[[2250.1926842927933, 0.0, 226.28856527805328]]"
272,-2,-2.0,"[[97.29312026500702, 0.0, 199.97224938869476]]"
273,2,11.623866081237793,"[[477000.35043412447, 13745.807367563248, 51334.82827216387]]"
274,1,27.99696159362793,"[[325393.3658596277, 12101.172306060791, 11315.264623701572]]"
275,3,-1.5189489126205444,"[[319007.56214380264, 5886.573370575905, 10458.220518827438]]"
276,2,2.913385272026062,"[[197920.90855324268, 2112.7992944717407, 1553.8940997719765]]"
277,1,6.494434356689453,"[[42585.3310854435, 1593.052167892456, 89.76956856250763]]"
278,-2,-2.0,"[[17717.78655666113, 25.727379143238068, 25.163906157016754]]"
279,0,21.5,"[[24867.544528782368, 1567.324788749218, 64.60566240549088]]"
280,1,19.624340057373047,"[[13624.31830561161, 1412.8633920550346, 10.304945647716522]]"
281,0,5.5,"[[13555.202077507973, 1034.0728654265404, 8.158748507499695]]"
282,-2,-2.0,"[[1.46126127243042, 132.30130344629288, 1.395654320716858]]"
283,2,1.0365095734596252,"[[13553.740816235542, 901.7715619802475, 6.763094186782837]]"
284,-2,-2.0,"[[4347.311750173569, 647.3251464962959, 3.6550873517990112]]"
285,-2,-2.0,"[[9206.429066061974, 254.44641548395157, 3.1080068349838257]]"
286,-2,-2.0,"[[69.1162281036377, 378.79052662849426, 2.1461971402168274]]"
287,1,25.734862327575684,"[[11243.226223170757, 154.46139669418335, 54.30071675777435]]"
288,-2,-2.0,"[[10702.794991016388, 33.53767937421799, 28.23009216785431]]"
289,0,24.5,"[[540.4312321543694, 120.92371731996536, 26.070624589920044]]"
290,-2,-2.0,"[[0.0, 120.92371731996536, 11.557093381881714]]"
291,-2,-2.0,"[[540.4312321543694, 0.0, 14.51353120803833]]"
292,0,8.5,"[[155335.5774677992, 519.7471265792847, 1464.1245312094688]]"
293,1,9.829520225524902,"[[50887.01311081648, 135.0183812379837, 1225.570812702179]]"
294,1,3.346630334854126,"[[50758.37292402983, 48.886587738990784, 995.2295926213264]]"
295,-2,-2.0,"[[24888.482352495193, 0.0, 97.94351816177368]]"
296,0,2.5,"[[25869.890571534634, 48.886587738990784, 897.2860744595528]]"
297,1,4.292421579360962,"[[1076.993506193161, 11.938119888305664, 450.5093375444412]]"
298,0,1.5,"[[1048.0263521671295, 0.0, 183.58019173145294]]"
299,-2,-2.0,"[[14.207711935043335, 0.0, 134.94265520572662]]"
300,-2,-2.0,"[[1033.8186402320862, 0.0, 48.63753652572632]]"
301,-2,-2.0,"[[28.967154026031494, 11.938119888305664, 266.9291458129883]]"
